Education,JoiningYear,City,PaymentTier,Age,Gender,EverBenched,ExperienceInCurrentDomain,LeaveOrNot
1,2017,Bangalore,3,34,1,2,0,0
1,2013,Pune,1,28,2,2,3,1
1,2014,New Delhi,3,38,2,2,2,0
2,2016,Bangalore,3,27,1,2,5,1
2,2017,Pune,3,24,1,1,2,1
1,2016,Bangalore,3,22,1,2,0,0
1,2015,New Delhi,3,38,1,2,0,0
1,2016,Bangalore,3,34,2,2,2,1
1,2016,Pune,3,23,1,2,1,0
2,2017,New Delhi,2,37,1,2,2,0
2,2012,Bangalore,3,27,1,2,5,1
1,2016,Pune,3,34,1,2,3,0
1,2018,Pune,3,32,1,1,5,1
1,2016,Bangalore,3,39,1,2,2,0
1,2012,Bangalore,3,37,1,2,4,0
1,2017,Bangalore,1,29,1,2,3,0
1,2014,Bangalore,3,34,2,2,2,0
1,2014,Pune,3,34,1,2,4,0
1,2015,Pune,2,30,2,2,0,1
1,2016,New Delhi,2,22,2,2,0,1
1,2012,Bangalore,3,37,1,2,0,0
2,2017,New Delhi,2,28,1,2,4,0
1,2017,New Delhi,2,36,1,2,3,0
1,2015,Bangalore,3,27,1,1,5,0
1,2017,Bangalore,3,29,1,2,4,0
1,2013,Bangalore,3,22,2,1,0,0
1,2016,Bangalore,3,37,1,2,2,0
1,2015,Bangalore,3,23,1,2,1,0
1,2013,Pune,2,31,2,2,2,1
2,2017,New Delhi,2,30,2,2,2,0
3,2013,New Delhi,3,25,1,2,3,0
1,2014,Bangalore,3,23,1,2,1,0
1,2018,Bangalore,3,26,1,2,4,1
1,2016,Bangalore,3,40,1,2,5,0
1,2017,Pune,2,37,2,2,0,1
1,2014,Bangalore,1,30,2,2,3,0
1,2012,New Delhi,3,29,1,2,3,0
1,2018,New Delhi,2,34,2,2,0,1
1,2017,Pune,2,29,2,2,2,1
1,2014,Pune,3,30,1,1,4,0
1,2015,Bangalore,3,36,1,2,1,0
2,2017,New Delhi,2,23,1,2,1,0
1,2013,Bangalore,3,30,1,2,3,1
1,2014,Bangalore,3,36,1,2,0,0
1,2015,Pune,3,39,1,2,4,0
1,2014,Bangalore,3,23,2,2,1,0
3,2012,New Delhi,3,27,1,2,5,0
2,2013,New Delhi,3,35,1,2,2,0
2,2017,New Delhi,2,34,1,2,0,0
1,2013,Bangalore,3,30,2,2,1,0
3,2017,New Delhi,3,34,1,2,2,0
1,2015,Pune,2,26,2,2,4,1
1,2016,Bangalore,3,34,2,2,0,0
1,2014,Bangalore,3,31,2,1,5,0
1,2017,New Delhi,3,31,2,1,5,0
3,2013,New Delhi,3,28,1,2,2,0
1,2016,Bangalore,3,38,1,2,2,0
2,2014,Pune,3,39,2,2,2,0
1,2013,Pune,3,32,1,2,4,0
2,2017,Pune,2,36,1,2,2,1
2,2013,New Delhi,3,29,1,2,3,0
1,2015,Bangalore,3,30,1,2,5,0
3,2013,Bangalore,2,25,1,2,3,1
1,2014,Pune,1,22,2,2,0,1
1,2016,Bangalore,3,34,1,2,4,0
1,2018,Bangalore,3,40,1,2,1,1
3,2013,Bangalore,3,26,1,2,4,0
1,2014,New Delhi,3,28,1,2,0,0
1,2015,Bangalore,3,24,2,2,2,0
2,2017,Bangalore,3,40,2,2,2,1
1,2018,Bangalore,3,23,2,2,1,1
2,2017,Bangalore,3,31,1,2,4,0
1,2014,Pune,3,25,2,2,3,0
1,2014,Bangalore,1,27,1,2,5,0
2,2017,New Delhi,2,25,2,2,3,1
1,2015,Bangalore,3,40,1,2,0,1
1,2014,Bangalore,1,23,2,2,1,0
1,2017,Bangalore,3,23,2,2,1,0
1,2012,Bangalore,3,39,1,2,1,0
3,2015,New Delhi,1,37,1,2,1,0
1,2017,Pune,3,38,1,2,2,0
1,2013,Bangalore,3,31,2,2,0,1
1,2016,Bangalore,3,38,1,2,5,0
1,2017,Bangalore,3,25,2,2,3,0
1,2015,Bangalore,3,27,2,1,5,1
1,2016,Pune,2,36,1,2,0,1
1,2017,Pune,2,27,2,2,5,1
2,2015,Pune,2,32,2,2,4,0
1,2014,Bangalore,3,28,1,2,4,0
2,2012,New Delhi,3,32,1,2,2,0
1,2018,Bangalore,3,30,1,2,0,1
1,2015,New Delhi,3,22,1,2,0,0
1,2017,New Delhi,2,34,2,2,5,0
2,2013,New Delhi,3,36,1,2,2,0
1,2014,Bangalore,3,39,1,2,3,1
3,2018,Bangalore,3,26,1,2,4,1
1,2016,Bangalore,3,31,2,2,0,0
1,2014,Bangalore,3,27,1,2,5,1
1,2014,Bangalore,3,29,2,2,0,0
1,2015,Bangalore,3,24,2,2,2,1
2,2012,Pune,3,25,1,2,3,1
1,2013,Pune,3,25,1,2,3,0
2,2017,New Delhi,3,26,2,2,4,1
1,2015,Pune,2,28,2,1,1,1
1,2017,New Delhi,3,28,1,2,2,0
2,2015,Pune,1,28,2,2,3,1
2,2015,New Delhi,3,25,1,2,3,0
1,2017,Bangalore,3,28,1,2,1,0
2,2013,Pune,3,25,1,2,3,0
1,2015,Bangalore,2,25,2,2,3,1
1,2015,Bangalore,3,27,2,2,5,0
1,2017,Pune,2,27,2,2,5,1
1,2013,Bangalore,3,27,1,2,5,1
1,2012,Bangalore,3,25,1,2,3,0
2,2017,New Delhi,2,28,1,2,2,0
1,2014,Pune,1,26,2,2,4,1
1,2015,Bangalore,3,28,1,2,2,0
2,2013,New Delhi,3,26,1,2,4,0
1,2017,Bangalore,3,26,2,2,4,0
1,2017,New Delhi,2,25,1,2,3,0
1,2012,Bangalore,1,28,2,2,3,0
3,2015,New Delhi,3,26,1,2,4,0
1,2015,New Delhi,3,25,2,2,3,0
1,2012,Bangalore,3,26,1,2,4,1
1,2014,Bangalore,3,28,2,2,3,0
2,2014,Pune,3,24,1,2,2,0
1,2013,Bangalore,3,28,1,2,1,0
1,2015,Pune,3,27,1,2,5,0
1,2018,Bangalore,3,25,1,2,3,1
2,2013,Pune,1,24,1,2,2,1
1,2017,Bangalore,3,26,2,2,4,0
1,2013,Bangalore,3,28,1,2,1,1
2,2016,New Delhi,3,27,1,2,5,0
2,2017,Bangalore,3,26,1,2,4,0
2,2017,New Delhi,2,24,1,2,2,0
2,2018,New Delhi,3,26,1,2,4,1
2,2017,New Delhi,1,25,2,2,3,1
1,2012,Pune,3,28,1,2,2,0
1,2017,New Delhi,3,28,1,2,2,0
1,2013,Bangalore,3,26,1,2,4,0
2,2013,New Delhi,3,27,1,2,5,1
1,2017,Pune,2,24,2,2,2,1
1,2017,New Delhi,3,28,2,2,2,0
1,2016,Bangalore,3,26,1,2,4,0
1,2013,Bangalore,3,27,2,2,5,0
2,2015,Pune,2,28,2,2,3,0
1,2014,Bangalore,3,25,1,2,3,0
1,2016,Pune,3,28,1,2,1,0
2,2013,Bangalore,1,25,1,2,3,1
1,2015,Pune,3,26,1,2,4,0
1,2018,New Delhi,3,27,2,2,5,1
1,2016,Bangalore,3,24,1,2,2,1
1,2012,Pune,2,24,2,2,2,1
1,2014,Bangalore,3,26,1,2,4,0
1,2016,Pune,2,24,2,2,2,1
2,2012,New Delhi,3,26,2,2,4,0
1,2013,Bangalore,3,28,2,2,3,0
1,2012,Bangalore,3,24,1,2,2,1
1,2015,Bangalore,3,25,1,2,3,1
1,2016,Bangalore,3,28,1,2,3,0
1,2014,Bangalore,3,28,2,2,3,0
1,2013,Bangalore,3,26,2,2,4,0
2,2017,New Delhi,3,24,2,2,2,1
1,2016,Bangalore,3,25,1,2,3,1
1,2015,Bangalore,3,25,1,2,3,0
1,2014,Bangalore,3,27,1,2,5,0
1,2012,Bangalore,3,24,1,2,2,0
1,2014,Bangalore,3,25,1,2,3,0
1,2015,Bangalore,3,28,1,2,3,0
2,2015,New Delhi,3,26,1,2,4,1
1,2014,New Delhi,3,28,2,2,1,0
1,2015,Pune,3,25,1,2,3,0
2,2015,Pune,2,28,2,2,2,0
